goos: darwin
goarch: arm64
pkg: github.com/neilotoole/fifomu
cpu: Apple M1 Max
BenchmarkMutexWorkSlack/semaphoreMu-10           	 4220350	       282.2 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexWorkSlack/semaphoreMu-10           	 4237182	       281.1 ns/op	     176 B/op	       3 allocs/op
BenchmarkMutexWorkSlack/native-10                	 2784758	       464.0 ns/op	      14 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/native-10                	 2802800	       433.5 ns/op	      15 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/native-10                	 3333319	       422.6 ns/op	      14 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/native-10                	 2912140	       403.1 ns/op	      14 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/native-10                	 3324284	       418.3 ns/op	      14 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/native-10                	 2811078	       418.4 ns/op	      14 B/op	       0 allocs/op
BenchmarkMutexNoSpin/stdlib-10                   	 9242947	       138.6 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/stdlib-10                   	 9225877	       138.6 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/stdlib-10                   	 9266743	       138.9 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/stdlib-10                   	 9159810	       139.7 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/stdlib-10                   	 9158655	       142.0 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/stdlib-10                   	 9409104	       138.7 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/fifomu-10                   	 3047948	       393.9 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/fifomu-10                   	 3110761	       395.1 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/fifomu-10                   	 2685235	       393.0 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/fifomu-10                   	 2996776	       391.6 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/fifomu-10                   	 3093512	       391.3 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/fifomu-10                   	 3068554	       392.7 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/semaphoreMu-10              	 2741750	       439.5 ns/op	      56 B/op	       1 allocs/op
BenchmarkMutexNoSpin/semaphoreMu-10              	 2734153	       443.4 ns/op	      56 B/op	       1 allocs/op
BenchmarkMutexNoSpin/semaphoreMu-10              	 2685585	       445.7 ns/op	      55 B/op	       1 allocs/op
BenchmarkMutexNoSpin/semaphoreMu-10              	 2717954	       437.2 ns/op	      56 B/op	       1 allocs/op
BenchmarkMutexNoSpin/semaphoreMu-10              	 2337147	       486.5 ns/op	      56 B/op	       1 allocs/op
BenchmarkMutexNoSpin/semaphoreMu-10              	 2590180	       469.0 ns/op	      56 B/op	       1 allocs/op
BenchmarkMutexNoSpin/native-10                   	 5618456	       220.3 ns/op	      15 B/op	       0 allocs/op
BenchmarkMutexNoSpin/native-10                   	 5421757	       221.8 ns/op	      15 B/op	       0 allocs/op
BenchmarkMutexNoSpin/native-10                   	 5468108	       221.1 ns/op	      15 B/op	       0 allocs/op
BenchmarkMutexNoSpin/native-10                   	 5350317	       229.2 ns/op	      15 B/op	       0 allocs/op
