goos: darwin
goarch: arm64
pkg: github.com/neilotoole/fifomu
cpu: Apple M1 Max
BenchmarkMutexSpin/fifomu-10                	  500790	      2424 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/fifomu-10                	  491644	      2417 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/fifomu-10                	  486549	      2429 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/fifomu-10                	  501722	      2416 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/fifomu-10                	  500926	      2416 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/semaphoreMu-10           	  472291	      2616 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexSpin/semaphoreMu-10           	  466105	      2602 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexSpin/semaphoreMu-10           	  463346	      2615 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexSpin/semaphoreMu-10           	  476746	      2603 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexSpin/semaphoreMu-10           	  467008	      2613 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexSpin/semaphoreMu-10           	  470362	      2608 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexSpin/native-10                	 2217199	       543.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/native-10                	 2186750	       544.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/native-10                	 2242927	       550.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/native-10                	 2163092	       549.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/native-10                	 2176491	       549.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/native-10                	 2136258	       558.6 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/neilotoole/fifomu	250.930s
PASS
ok  	github.com/neilotoole/fifomu/internal/native	0.187s
