goos: darwin
goarch: arm64
pkg: github.com/neilotoole/fifomu
cpu: Apple M1 Max
BenchmarkMutexSpin/stdlib-10                     	 3943590	       260.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/stdlib-10                     	 5012449	       306.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/stdlib-10                     	 5133194	       321.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/stdlib-10                     	 5056996	       318.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/stdlib-10                     	 5209371	       317.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/fifomu-10                     	  507538	      2359 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/fifomu-10                     	  511168	      2360 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/fifomu-10                     	  510450	      2372 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/fifomu-10                     	  509502	      2355 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/fifomu-10                     	  510722	      2357 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/fifomu-10                     	  506373	      2354 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/semaphoreMu-10                	  489498	      2479 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexSpin/semaphoreMu-10                	  490677	      2497 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexSpin/semaphoreMu-10                	  484890	      2476 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexSpin/semaphoreMu-10                	  483879	      2482 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexSpin/semaphoreMu-10                	  483447	      2480 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexSpin/semaphoreMu-10                	  485286	      2494 ns/op	     175 B/op	       2 allocs/op
PASS
ok  	github.com/neilotoole/fifomu	213.367s
